id,naam,locatie,provincie,gemeente,deelgemeente,bewaringstoestand,structuren,gebeurtenistypes,brontypes,stijl,typologie,context,materiaal,plantensoort,datering,gebeurtenissen,themas,disciplines,zichtbaarheid,dataverantwoordelijke
981354,Sabot,Grote Baan (Beveren),Oost-Vlaanderen,Beveren,Melsele,bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,,,,,,Proefsleuvenonderzoek Sabot,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984274,Hendrik Consciencestraat,"Hendrik Consciencestraat, Kruibekesteenweg, Walhof (Beveren)",Oost-Vlaanderen,Beveren,Beveren,bewaard,"Laatmiddeleeuwse sporen, Poel (Nieuwe Tijd), Sporen buiten het erf, Oostelijke zone (ijzertijd-Romeinse tijd), Erf (13de/14de-20ste eeuw)","bureauonderzoek, kaartstudie, metaaldetectie, proefsleuven en proefputten i.f.v. sporensites",literatuur,,"akkerlagen, bouwmaterialen, cultuurlagen, erven, gebouwen en structuren, grachten (infrastructuur), greppels, indicaties voor houtbouw, infrastructuur voor waterbevoorraading en -afvoer, kelders, kuilen, muurresten, onderdelen van gebouwen en structuren, paalkuilen, paalsporen, paardenstallen, poelen, poorten (gebouwonderdelen), schuren, sites met walgracht, spitsporen, vaatwerk, versieringsonderdelen van voorwerpen, vloeren, walgrachten",,"aardewerk, grijs aardewerk, houtskool, ijzer, mineraal, mortel, pleister, rood aardewerk, steen, steengoed",,"ijzertijd, late middeleeuwen, nieuwe tijd, nieuwste tijd, Romeinse tijd",Proefsleuvenonderzoek Hendrik Consciencestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
208301,Hof ter Wellelaan,Hof ter Wellelaan (Beveren),Oost-Vlaanderen,Beveren,Onbepaald,bewaard,"Metaaltijden grondsporen, Middeleeuwse greppels, Nieuwe tijd grondsporen, Romeinse waterkuil","archeologische opgravingen, proefsleuven en proefputten i.f.v. sporensites, radiokoolstofdatering",literatuur,,"greppels, kuilen, paalkuilen, waterkuilen",,houtskool,,"late bronstijd, late middeleeuwen, nieuwe tijd, volle middeleeuwen, Vroeg-Romeinse tijd, vroege ijzertijd","Archeologisch vooronderzoek Hof ter Wellelaan, Archeologische opgravingen Beveren",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
30349,Singelberg / Beverenburcht,Kasteelstraat 1 (Beveren),Oost-Vlaanderen,Beveren,Onbepaald,bewaard,"Antropogeen Reliëfverschil, Archeologische Objecten, Archeologische Objecten, Antropogeen Reliëfverschil","archeologische opgravingen, erfgoedonderzoek","archief, literatuur",,"archeologische objecten, burchten, losse vondsten, motteheuvels, mottekastelen",,"aardewerk, metaal",,"late middeleeuwen, Romeinse tijd, volle middeleeuwen","Archeologische opgravingen Beveren, Erfgoedonderzoek, Erfgoedonderzoek Beveren",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982838,Keizerstraat,Keizerstraat 10 (Beveren),Oost-Vlaanderen,Beveren,Haasdonk,bewaard,Graven,"in-situbehoud, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"graven, volwassenengraven",,"bot (menselijk), glas, haar, metaal, plastic",,20ste eeuw,Vooronderzoek Keizerstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981436,Klapperstraat,Klapperstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,"Late middeleeuwen?, Nieuwe en nieuwste tijd",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"greppels, kuilen, paalsporen, vaatwerk, waterkuilen","archeologische objecten, archeologische sporen en uitgravingen",aardewerk,,"late middeleeuwen, nieuwe tijd, nieuwste tijd",Proefsleuvenonderzoek Klapperstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982738,Kromstraat,Kromstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,Late ijzertijd/vroeg-Romeinse nederzetting,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"gebouwplattegronden, greppels, kuilen, paalkuilen, vaatwerk, waterputten",,"aardewerk, hout",,"late ijzertijd (westen), Vroeg-Romeinse tijd",Vooronderzoek Kromstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
989505,Zillebeek,Kromstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,"Grachten, Late ijzertijd/ vroeg Romeins","archeologische opgravingen, bureauonderzoek, landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites, radiokoolstofdatering",eindverslag (archeologieportaal),,"bolle akkers, drenkpoelen, gebouwplattegronden, grachten (infrastructuur), spijkers, waterputten",,aardewerk,,"late ijzertijd (westen), nieuwe tijd, Vroeg-Romeinse tijd",Opgraving Zillebeek,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983403,Kruibekesteenweg 2022,Kruibekesteenweg (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,Grondsporen,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,grachten (infrastructuur),,,,,Proefsleuvenonderzoek Kruibekesteenweg 2022,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984362,Melseledijk,Melseledijk (Beveren),Oost-Vlaanderen,Beveren,Melsele,bewaard,Dijk,"archeologische opgravingen, controle van werken",literatuur,,dijken,,aardewerk,,"late middeleeuwen, nieuwe tijd, volle middeleeuwen",Opgraving Melseledijk,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984455,Melselestraat (Fase 1),Melselestraat (Beveren),Oost-Vlaanderen,Beveren,Haasdonk,bewaard,"Grondsporen, Lithische artefacten","in-situbehoud, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,"greppels, kuilen, paalkuilen",,"lithisch materiaal, vuursteen",,steentijd,Archeologisch vooronderzoek Melselestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984357,Zoetwaterkreek,Oud Arenberg (Beveren),Oost-Vlaanderen,Beveren,Kieldrecht,bewaard,Sporen en structuren late middeleeuwen,"in-situbehoud, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek, waarderend archeologisch booronderzoek",nota (archeologieportaal),,"cultuurlagen, kuilen, perceelsgreppels",,aardewerk,,"14de eeuw, 15de eeuw, 16de eeuw","Archeologisch vooronderzoek Spaans Fort, Drijdijck, Zoetwaterkreek",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988096,"Paardenkerkhofstraat 2, 2A en 2B","Paardenkerkhofstraat 2, 2A-B (Beveren)",Oost-Vlaanderen,Beveren,Verrebroek,niet bewaard,Grondsporen,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,"afwateringsgreppels, greppels",,,,"late middeleeuwen, nieuwe tijd","Archeologisch vooronderzoek Paardenkerkhofstraat 2, 2A en 2B",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982191,Pareinpark,Pareinpark (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,,,,,,Archeologisch vooronderzoek Pareinpark ,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
217695,Pauwstraat,Pauwstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,niet bewaard,"Grondsporen, Grondsporen",archeologisch vooronderzoek met ingreep in de bodem,literatuur,,gebouwplattegronden,,,,volle middeleeuwen,Archeologisch vooronderzoek met ingreep in de bodem Beveren,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980876,Beveren Melsele Pauwstraat,Pauwstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,niet bewaard,"Bewoning volle middeleeuwen, Gracht late middeleeuwen, Bolle akker","anthracologisch onderzoek, archeobotanisch onderzoek, archeologische opgravingen, dendrochronologisch onderzoek, palynologisch onderzoek, radiokoolstofdatering",eindverslag (archeologieportaal),,"bolle akkers, gebouwplattegronden, grachten (infrastructuur), waterputten",,,,"15de eeuw, 16de eeuw, late middeleeuwen, volle middeleeuwen",Opgraving Beveren Melsele Pauwstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
991439,Poldersdreef,Polderdreef (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,,,,,,Vooronderzoek Poldersdreef,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
227024,Polderstraat,Polderstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,"Waterput, Romeinse sporen, Middeleeuwse kuil","archeologisch vooronderzoek met ingreep in de bodem, archeologische opgravingen, booronderzoek, proefsleuven en proefputten i.f.v. sporensites","eindverslag (archeologieportaal), literatuur",,"archeologische objecten, grachten (infrastructuur), greppels, kuilen, losse vondsten, waterputten",,aardewerk,,"middeleeuwen, Midden-Romeinse tijd, volle middeleeuwen","Archeologisch vooronderzoek met ingreep in de bodem Beveren, Booronderzoek Beveren, Opgraving Polderstraat",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
227043,Prosper van Raemdonckstraat,Prosper Van Raemdonckstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,Grondsporen,"landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"greppels, kuilen",,,,middeleeuwen,Vooronderzoek Prosper van Raemdonckstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981450,Prosper Van Raemdonckstraat,Prosper Van Raemdonckstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,"Recente sporen, Gebouwsporen met onbekende datering","landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"gebouwplattegronden, greppels, kuilen, paalsporen",archeologische sporen en uitgravingen,,,nieuwste tijd,Archeologisch vooronderzoek Prosper Van Raemdonckstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983785,Opgraving Prosper Van Raemdonckstraat,Prosper Van Raemdonckstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,"Woonerf, Grachten","archeologische opgravingen, radiokoolstofdatering",eindverslag (archeologieportaal),,"gebouwplattegronden, grachten (infrastructuur)",,aardewerk,,"nieuwe tijd, nieuwste tijd, volle middeleeuwen",Opgraving Prosper Van Raemdonckstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983999,Prosper Van Raemdonckstraat II,Prosper Van Raemdonckstraat 101 (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,,proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"greppels, kuilen, perceelsgreppels",,aardewerk,,"middeleeuwen, nieuwe tijd",Proefsleuvenonderzoek Prosper Van Raemdonckstraat ,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
215379,Schaarbeekstraat,Schaarbeekstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,niet bewaard,"Gracht, Krengbegraving, Kuilen, Lithisch artefact",archeologisch vooronderzoek met ingreep in de bodem,archeologienota (archeologieportaal),,"archeologische objecten, funeraire gebouwen en structuren, grachten (infrastructuur), krengbegravingen, kuilen, losse vondsten",,lithisch materiaal,,"nieuwe tijd, nieuwste tijd, steentijd",Archeologisch vooronderzoek met ingreep in de bodem Beveren,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983007,Schaarbeekstraat,Schaarbeekstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,bewaard,"Grafheuvel, (Sub)recente sporen landbouwactiviteiten",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"grachten (infrastructuur), paalkuilen, perceelsgreppels",,,,bronstijd,Proefsleuvenonderzoek Schaarbeekstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980725,Schaarbeeklaan 30 (2020),Schaarbeekstraat 30 (Beveren),"Antwerpen, Oost-Vlaanderen","Beveren, Zwijndrecht",Melsele,niet bewaard,,"archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek",nota (archeologieportaal),,,,,,,Proefsleuven Schaarbeekstraat 30,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
981813,Schoolstraat,Schoolstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,niet bewaard,,"archeologisch vooronderzoek met ingreep in de bodem, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,,,,,,Proefsleuven Schoolstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
219363,Schoorhavenweg fase 3,Schoorhavenweg (Beveren),Oost-Vlaanderen,Beveren,Verrebroek,niet bewaard,"Lithische artefacten middenmesolithicum, Lithische artefacten laatmesolithicum, Laatneolithische objecten, Lithische artefacten vroegmesolithicum, Aardewerk middenneolithicum, Lithische artefacten finaalpaleolithicum, Laatmiddeleeuwse sporen, Lithische artefacten neolithicum, Greppels, Romeinse objecten","archeologische opgravingen, evaluerend onderzoek",literatuur,"klokbekercultuur, michelsbergcultuur","akkerlagen, bouwmaterialen, greppels, kuilen, losse vondsten, munten, vaatwerk, verspreide vondsten, vondstenconcentraties, werktuigen",zandruggen,"aardewerk, kwartsiet van Wommersom, lithisch materiaal, metaal",,"finaalpaleolithicum, laatmesolithicum, laatneolithicum, late middeleeuwen, middenmesolithicum, middenneolithicum, neolithicum, nieuwe tijd, Romeinse tijd, vroegmesolithicum","Opgraving Schoorhavenweg fase 3, Waarderend testvakkenonderzoek fase 3 Zone 4 - Logistiek Pak Waasland ",Sites en sitecomplexen uit het finaalpaleolithicum en mesolithicum,Archeologisch,publiek,Agentschap Onroerend Erfgoed
215139,Snoeckstraat,Snoeckstraat (Beveren),Oost-Vlaanderen,Beveren,Melsele,bewaard,"Romeins erf, Duimnagelschrabber, Paalsporen met handgevormd aardewerk, Middeleeuwse greppel, Laat- of postmiddeleeuwse greppels, Combinatie","proefsleuven en proefputten i.f.v. sporensites, radiokoolstofdatering, vlakdekkende opgravingen",literatuur,,"bijgebouwen, erven, gebouwplattegronden, grachten (infrastructuur), greppels, infrastructuur voor waterbevoorraading en -afvoer, nijverheidsgebouwen en productieplaatsen, paalsporen, potstallen, vaatwerk, werktuigen, woonstalhuizen (archeologisch erfgoed)",,"aardewerk, vuursteen",,"late middeleeuwen, Midden-Romeinse tijd, nieuwe tijd, nieuwste tijd, Romeinse tijd, steentijd, volle middeleeuwen","Archeologisch vooronderzoek met ingreep in de bodem Beveren, Archeologisch vooronderzoek met ingreep in de bodem Snoeckstraat, Archeologische opgravingen Snoeckstraat",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984355,Spaans Fort,Spaans Fort (Beveren),Oost-Vlaanderen,Beveren,Verrebroek,bewaard,"Microkling, late middeleeuwen/ nieuwe tijd","in-situbehoud, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek, waarderend archeologisch booronderzoek",nota (archeologieportaal),,"dierengraven, greppels, kuilen, ophogingslagen, perceelsgreppels, waterkuilen, waterputten",,"aardewerk, vuursteen",,"late middeleeuwen, nieuwe tijd, steentijd","Archeologisch vooronderzoek Spaans Fort, Drijdijck, Zoetwaterkreek",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980634,Stuurstraat 89,Stuurstraat 89 (Beveren),Oost-Vlaanderen,Beveren,Haasdonk,niet bewaard,Kuilen,"archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek",nota (archeologieportaal),,kuilen,archeologische sporen en uitgravingen,,,"19de eeuw, 20ste eeuw",Proefsleuven Stuurstraat 89,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
39049,Beveren-LPWW,Verrebroekstraat (Beveren),Oost-Vlaanderen,Beveren,Verrebroek,niet bewaard,Lithische artefacten,"archeologisch vooronderzoek met ingreep in de bodem, archeologische opgravingen, bureauonderzoek, gebruikssporenanalyse, materiaalstudie, micromorfologisch onderzoek, thematische inventarisatie",literatuur,,"vondstenconcentraties, werktuigen",,"lithisch materiaal, vuursteen",,"finaalpaleolithicum, vroegmesolithicum","Archeologisch vooronderzoek met ingreep in de bodem Beveren, Archeologische opgravingen Beveren, Syntheseonderzoek Laat-Paleolithische en Vroeg-Mesolithische sites Vlaanderen",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
979843,Vogelkerslaan,Vogelkerslaan (Beveren),Oost-Vlaanderen,Beveren,Melsele,niet bewaard,Ijzertijd erf,archeologische opgravingen,eindverslag (archeologieportaal),,"erven, kuilen, paalkuilen",,aardewerk,,ijzertijd,Opgraving Vogelkerslaan,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983686,Walhof 14A,Walhof 14A (Beveren),Oost-Vlaanderen,Beveren,Beveren,niet bewaard,Recente sporen,"bureauonderzoek, landschappelijk booronderzoek, proefsleuven en proefputten i.f.v. sporensites",nota (archeologieportaal),,"grachten (infrastructuur), kuilen",,,,nieuwste tijd,Vooronderzoek Walhof 14A,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988493,Prosperpolder I,Zoetenberm 2 (Beveren),Oost-Vlaanderen,Beveren,Doel,bewaard,Sluis 19de eeuw,"evaluerend terreinonderzoek, toevalsvondsten",toevalsvondst (archeologieportaal),,"muurresten, uitwateringssluizen, vloeren",,"baksteenwaar, hout, metaal, natuursteen",,tweede helft 19de eeuw,Toevalsvondst Zoetenberm 2,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
990685,Leurshoek,Zonnebloemstraat (Beveren),Oost-Vlaanderen,Beveren,Beveren,bewaard,"Bewoning volle middeleeuwen, Houtskoolmeiler","archeologische opgravingen, radiokoolstofdatering",eindverslag (archeologieportaal),,"gebouwplattegronden, indicaties voor houtbouw",,"aardewerk, houtskool",,"Romeinse tijd, volle middeleeuwen","Opgraving Leurshoek, Radiokoolstofdatering Houtskoolmeiler",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982120,Aarden wal Meerdaalwoud Warande,Bierbeek (Vlaams-Brabant),Vlaams-Brabant,Bierbeek,Onbepaald,bewaard,Aarden wal,"archeologische veldkartering, inventarisatie, laseraltimetrie",literatuur,,"jachtbossen, wallen (morfologische elementen)",private parken,,,nieuwe tijd,Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982483,Aarden wallen in Meerdaalwoud,"Bierbeek, Oud-Heverlee (Vlaams-Brabant)",Vlaams-Brabant,"Bierbeek, Oud-Heverlee",Onbepaald,bewaard,Wallen,"archeologische veldkartering, inventarisatie, laseraltimetrie",,,wallen (morfologische elementen),,,,nieuwe tijd,Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982567,Meerdaalwoud karrenspoorbundels en aggers,"Bierbeek, Oud-Heverlee (Vlaams-Brabant)",Vlaams-Brabant,"Bierbeek, Oud-Heverlee",Onbepaald,bewaard,Karrenspoorbundels,"archeologische veldkartering, inventarisatie, laseraltimetrie",cartografie/iconografie/fotografie,,"karrensporen, wegen",,,,"middeleeuwen, nieuwe tijd",Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982573,Meerdaalwoud tankkuilen,Bierbeek (Vlaams-Brabant),Vlaams-Brabant,Bierbeek,Onbepaald,bewaard,Munitiedepots,"archeologische veldkartering, inventarisatie, laseraltimetrie",literatuur,,munitiedepots,,,,na WO II,Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983702,Kavelstructuren Meerdaalwoud,"Bierbeek, Oud-Heverlee (Vlaams-Brabant)",Vlaams-Brabant,"Bierbeek, Oud-Heverlee",Onbepaald,bewaard,Kavelstructuren,"archeologische veldkartering, inventarisatie, laseraltimetrie",literatuur,,"perceelsgrenzen, wallen (morfologische elementen)",,,,Romeinse tijd,Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
987882,Boordschrabber Meerdaalwoud,"Bierbeek, Oud-Heverlee (Vlaams-Brabant)",Vlaams-Brabant,"Bierbeek, Oud-Heverlee",Onbepaald,bewaard,Boordschrabber,"archeologische veldkartering, inventarisatie, laseraltimetrie",literatuur,,,,vuursteen,,middenpaleolithicum,Inventarisatie Meerdaalwoud,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
2238,Meerdaalwoud grafheuvel 20,Bierbeek (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,Dubbeltumulus,"archeologische opgravingen, archeologische veldkartering, evaluerend terreinonderzoek, inventarisatie, laseraltimetrie","cartografie/iconografie/fotografie, literatuur",,"grafheuvels, tumuli",,,,Midden-Romeinse tijd,"Archeologische opgravingen, Archeologische veldkartering Heverleebos en Meerdaalwoud, Evaluerend terreinonderzoek Bierbeek, Inventarisatie Meerdaalwoud",Romeinse tumuli,Archeologisch,publiek,Agentschap Onroerend Erfgoed
2241,Meerdaalwoud grafheuvel 15,Bierbeek (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,Tumulus?,"archeologische opgravingen, archeologische veldkartering, erfgoedonderzoek, inventarisatie, laseraltimetrie","cartografie/iconografie/fotografie, literatuur",,"grafheuvels, tumuli",,"aardewerk, ijzer",,Romeinse tijd,"Archeologische opgravingen, Archeologische veldkartering Heverleebos en Meerdaalwoud, Erfgoedonderzoek Bierbeek, Inventarisatie Meerdaalwoud",Romeinse tumuli,Archeologisch,publiek,Agentschap Onroerend Erfgoed
2244,Klingschrabber Kanselierdreef,Bierbeek (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,"Klingschrabber: interpretatie neolithicum, Klingschrabber: interpretatie paleolithicum","archeologische veldkartering, inventarisatie, laseraltimetrie, toevalsvondsten",literatuur,michelsbergcultuur,"archeologische objecten, losse vondsten",,lithisch materiaal,,"laatpaleolithicum, middenneolithicum","Inventarisatie Meerdaalwoud, Toevalsvondsten Bierbeek",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
5424,Meerdaalwoud grafheuvel 18,Bierbeek (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,Tumulus,"archeologische opgravingen, archeologische veldkartering, inventarisatie, laseraltimetrie, toevalsvondsten","cartografie/iconografie/fotografie, literatuur",,grafheuvels,,,,Romeinse tijd,"Archeologische opgravingen, Inventarisatie Meerdaalwoud, Toevalsvondsten Bierbeek",Romeinse tumuli,Archeologisch,publiek,Agentschap Onroerend Erfgoed
215998,Bierbeek Mevrouwkensveld,Bierbeek (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,niet bewaard,"Combinatie, Combinatie, Combinatie",archeologisch vooronderzoek met ingreep in de bodem,literatuur,,gebouwplattegronden,,,,"metaaltijden, Romeinse tijd, volle middeleeuwen",Archeologisch vooronderzoek met ingreep in de bodem Bierbeek,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
979742,Bergstraat - Wilgenstraat,Bergstraat (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,"Kuilen, Paalkuil, Greppels","archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek, verkennend archeologisch booronderzoek",nota (archeologieportaal),,,"greppels, kuilen, paalkuilen",,,,"Proefsleuvenonderzoek Bierbeek Bergstraat Wilgenstraat, Verkennend archeologisch booronderzoek Bierbeek Bergstraat Wilgenstraat",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
2525,Parochiekerk Heilig Kruis,Bierbeekstraat (Bierbeek),Vlaams-Brabant,Bierbeek,Korbeek-Lo,bewaard,"Kerk, Kerkhof, Restanten 17de-eeuws kerk","archeologische opgravingen, erfgoedonderzoek, geofysisch onderzoek, historische studie, kaartstudie","cartografie/iconografie/fotografie, literatuur",,"inhumatiegraven, kerken, muurresten, parochiekerken, vlakgraven",,"ijzerzandsteen, kalksteen, natuursteen",,"17de eeuw, volle middeleeuwen","Erfgoedonderzoek, Historische studie, Kaartstudie, Kaartstudie Bierbeek, Opgraving Heilig Kruiskerk",,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980283,Nieuwstraat,Nieuwstraat 17 (Bierbeek),Vlaams-Brabant,Bierbeek,Korbeek-Lo,niet bewaard,,"archeologisch vooronderzoek, archeologisch vooronderzoek met ingreep in de bodem",nota (archeologieportaal),,,,,,,Vooronderzoek Bierbeek - Nieuwstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980722,Mevrouwkensveld,Opvelpsestraat (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,bewaard,"Romeinse tijd, Vroege en volle middeleeuwen, Late middeleeuwen, Nieuwe Tijden","archeobotanisch onderzoek, archeologische opgravingen, radiokoolstofdatering",literatuur,,"boothuizen, greppels, haardplaatsen, hutkommen, indicaties voor metaalbewerking, karrensporen, kuilen, leemwinning, paalkuilen, perceelsgreppels, spijkers, vaatwerk, walgrachten",colluviale processen,aardewerk,,"10de eeuw, 11de eeuw, Romeinse tijd, volle middeleeuwen, vroege middeleeuwen",Opgraving Bierbeek Mevrouwkensveld,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
988447,Opvelpsestraat,Opvelpsestraat 47 (Bierbeek),Vlaams-Brabant,Bierbeek,Bierbeek,niet bewaard,"Slijpsteen, Kuil",proefsleuven en proefputten i.f.v. sporensites,nota (archeologieportaal),,"kuilen, losse vondsten, werktuigen",,"houtskool, zandsteen",,Romeinse tijd,Vooronderzoek Opvelpsestraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
983180,Perrestraat,Perrestraat (Bierbeek),Vlaams-Brabant,Bierbeek,Opvelp,bewaard,"Nieuwe - nieuwste tijd, Romeinse tijd, Velpe","metaaldetectie, proefsleuven en proefputten i.f.v. sporensites",literatuur,,"afwateringsgreppels, akkerlagen, beken, grachten (infrastructuur), greppels, kuilen, ophogingslagen, vaatwerk, wegen",,aardewerk,,"nieuwe tijd, nieuwste tijd, Romeinse tijd",Archeologisch vooronderzoek Perrestraat - Begijnenweg,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
980496,Bierbeek Vinaafstraat,Vinaafstraat (Bierbeek),Vlaams-Brabant,Bierbeek,Opvelp,niet bewaard,"Postmiddeleeuwse greppel, Romeinse kuil",archeologisch vooronderzoek met ingreep in de bodem,nota (archeologieportaal),,"losse vondsten, vaatwerk","greppels, kuilen",aardewerk,,"late middeleeuwen, nieuwe tijd, Romeinse tijd",Vooronderzoek Bierbeek Vinaafstraat,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
982148,Waterhoenweg,Waterhoenweg (Bierbeek),Vlaams-Brabant,Bierbeek,Opvelp,bewaard,Onbepaalde sporen,"landschappelijk bodemonderzoek, proefsleuven en proefputten i.f.v. sporensites, verkennend archeologisch booronderzoek",nota (archeologieportaal),,"afvalkuilen, greppels, kuilen, paalkuilen",,,,,Vooronderzoek Waterhoenweg,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
984143,Celtic Field complex Hoefweg,"Bilzen, Lanaken (Limburg)",Limburg,"Bilzen, Lanaken",Onbepaald,bewaard,"Celtic Fields, circulaire depressies",laseraltimetrie,cartografie/iconografie/fotografie,,"celtic fields, depressies",,,,"ijzertijd, late bronstijd",VAT analyse DHM2 zone Hoefweg,Celtic Field-akkercomplexen,Archeologisch,publiek,Agentschap Onroerend Erfgoed
979639,Bilzen Spelver fase 3,Abbendaal (Bilzen),Limburg,Bilzen,Bilzen,niet bewaard,"Kuilen en greppels, Kuil Metaaltijden, Greppel Romeins","archeologisch vooronderzoek met ingreep in de bodem, sleuvenonderzoek",nota (archeologieportaal),,,"greppels, kuilen",aardewerk,,"metaaltijden, Romeinse tijd",Proefsleuvenonderzoek Bilzen Spelver Fase 3,,Archeologisch,publiek,Agentschap Onroerend Erfgoed
